system,kind_mix,theta,clients,runs,tps_median,tps_std,abort_rate_median,correctness_median,correctness_median_ignoring_integrity,integrity_status,goodput_median,p50_ms_median,p99_ms_median,p99_9_ms_median,contested_median,missing_live_median,multi_live_median
pg_lww,adversarial,0.5,8,1,1822.80,0.00,0.0000,0.9202,0.9202,PASS,1677.32,4.163,11.327,12.845,17830,0,0
pg_lww,adversarial,0.9,32,1,4058.10,0.00,0.0000,INTEGRITY_FAIL,0.8304,FAIL,3369.99,6.600,29.856,49.647,19562,0,71
pg_lww,adversarial,0.9,8,1,2180.80,0.00,0.0000,INTEGRITY_FAIL,0.8623,FAIL,1880.46,3.102,11.376,13.071,11872,0,16
pg_lww,easy,0.5,32,1,3752.05,0.00,0.0000,INTEGRITY_FAIL,0.8626,FAIL,3236.42,6.468,46.517,86.166,32439,0,10
pg_lww,easy,0.5,8,1,3244.10,0.00,0.0000,INTEGRITY_FAIL,0.8731,FAIL,2832.29,2.368,5.436,6.085,29746,0,11
pg_lww,easy,0.9,32,1,3843.50,0.00,0.0000,INTEGRITY_FAIL,0.8323,FAIL,3198.81,6.469,40.813,76.803,18875,0,67
pg_lww,easy,0.9,8,1,2112.10,0.00,0.0000,INTEGRITY_FAIL,0.8571,FAIL,1810.22,2.960,11.995,14.245,11600,0,18
pg_lww,moderate,0.5,32,1,3741.50,0.00,0.0000,INTEGRITY_FAIL,0.8666,FAIL,3242.42,6.670,43.237,84.197,32109,0,11
pg_lww,moderate,0.5,8,1,1689.75,0.00,0.0000,0.9255,0.9255,PASS,1563.85,4.827,11.070,12.629,16562,0,0
pg_lww,moderate,0.9,32,1,3726.60,0.00,0.0000,INTEGRITY_FAIL,0.8360,FAIL,3115.61,6.450,44.338,81.704,18310,0,59
pg_lww,moderate,0.9,8,1,2162.20,0.00,0.0000,INTEGRITY_FAIL,0.8604,FAIL,1860.28,3.120,11.443,13.202,11752,0,15
pg_mv,adversarial,0.5,32,1,3546.20,0.00,0.0944,INTEGRITY_FAIL,0.8629,FAIL,2770.96,6.866,36.151,59.781,33244,0,3
pg_mv,adversarial,0.5,8,1,1752.75,0.00,0.0566,0.9187,0.9187,PASS,1519.05,4.238,11.401,13.280,17911,0,0
pg_mv,adversarial,0.9,32,1,3510.95,0.00,0.2744,INTEGRITY_FAIL,0.8203,FAIL,2089.63,6.400,24.390,40.683,21687,0,10
pg_mv,adversarial,0.9,8,1,1983.65,0.00,0.2416,0.8505,0.8505,PASS,1279.52,3.404,10.487,11.908,13501,0,0
pg_mv,easy,0.5,32,1,3440.00,0.00,0.0959,INTEGRITY_FAIL,0.8624,FAIL,2682.17,6.476,43.763,80.590,32857,0,7
pg_mv,easy,0.5,8,1,2535.75,0.00,0.0832,0.8829,0.8829,PASS,2052.56,2.312,10.536,12.085,26935,0,0
pg_mv,easy,0.9,32,1,3163.00,0.00,0.2695,INTEGRITY_FAIL,0.8296,FAIL,1916.77,6.878,30.487,54.618,20229,0,8
pg_mv,easy,0.9,8,1,1805.10,0.00,0.2380,INTEGRITY_FAIL,0.8565,FAIL,1178.10,3.875,11.423,12.985,12568,0,2
pg_mv,moderate,0.5,32,1,3483.50,0.00,0.0938,INTEGRITY_FAIL,0.8630,FAIL,2724.24,6.693,40.609,77.587,32812,0,7
pg_mv,moderate,0.5,8,1,1681.90,0.00,0.0538,INTEGRITY_FAIL,0.9209,FAIL,1465.57,4.642,10.769,12.225,17214,0,1
pg_mv,moderate,0.9,32,1,3207.05,0.00,0.2680,INTEGRITY_FAIL,0.8253,FAIL,1937.49,6.687,31.782,58.263,20239,0,3
pg_mv,moderate,0.9,8,1,1818.65,0.00,0.2384,INTEGRITY_FAIL,0.8597,FAIL,1190.67,3.845,11.250,12.805,12543,0,1
pg_trigger,adversarial,0.5,32,1,2903.50,0.00,0.2126,0.6768,0.6768,PASS,1547.33,7.797,47.450,77.448,31939,0,0
pg_trigger,adversarial,0.5,8,1,1397.10,0.00,0.1917,INTEGRITY_FAIL,0.6730,FAIL,759.95,6.082,10.755,12.198,17118,0,2
pg_trigger,adversarial,0.9,32,1,3283.90,0.00,0.3374,INTEGRITY_FAIL,0.6875,FAIL,1495.92,6.431,29.626,49.126,22057,0,8
pg_trigger,adversarial,0.9,8,1,1795.50,0.00,0.3181,INTEGRITY_FAIL,0.6884,FAIL,842.83,4.069,10.086,11.420,13598,0,1
pg_trigger,easy,0.5,32,1,2973.70,0.00,0.0892,INTEGRITY_FAIL,0.9874,FAIL,2674.33,7.516,51.062,95.621,29081,0,7
pg_trigger,easy,0.5,8,1,2346.25,0.00,0.0805,INTEGRITY_FAIL,0.9874,FAIL,2130.09,2.397,8.301,9.641,24428,0,3
pg_trigger,easy,0.9,32,1,2921.15,0.00,0.2676,INTEGRITY_FAIL,0.9852,FAIL,2107.79,6.693,44.065,77.221,19071,0,14
pg_trigger,easy,0.9,8,1,1554.30,0.00,0.2348,INTEGRITY_FAIL,0.9856,FAIL,1172.24,5.138,11.034,12.460,11076,0,3
pg_trigger,moderate,0.5,32,1,2730.05,0.00,0.1174,INTEGRITY_FAIL,0.8903,FAIL,2145.31,8.310,60.725,110.401,27961,0,9
pg_trigger,moderate,0.5,8,1,1276.50,0.00,0.0856,0.8930,0.8930,PASS,1042.39,7.023,10.862,12.508,13987,0,0
pg_trigger,moderate,0.9,32,1,2983.80,0.00,0.2834,INTEGRITY_FAIL,0.8898,FAIL,1902.62,6.499,46.987,85.572,19463,0,11
pg_trigger,moderate,0.9,8,1,1654.55,0.00,0.2555,INTEGRITY_FAIL,0.8909,FAIL,1097.35,4.594,11.237,12.789,11801,0,2
